,Country,Minimum wage, Annual Nominal (US$),Annual PPP (Int$),Workweek (hours),Hourly Nominal (US$),Hourly PPP (Int$),Percent of GDP per capita,Effective per
0,Afghanistan,"5,500 Afghani ($67) per month for non-permanent private sector. The minimum wage for permanent government workers was 6,000 Afghanis ($74) per month. There was no minimum wage for permanent workers in the private sector.[10]",866.0,3272.0,40,0.42,1.57,168.30%,2017
1,Albania,"30,000 Albanian lekë ($280) per month, in private sector and 37,000 lekë ($332) per month in public sector. The law establishes a 40-hour workweek, but the actual workweek is typically set by individual or collective-bargaining agreement.[10][11][12][13]",3277.0,6523.0,40,1.58,3.14,56.50%,5-May-17
2,Algeria,"20,000 Algerian dinars ($156.19) per month, nationally.[14][15]",2010.0,6247.0,40,0.97,3.0,41.60%,1-May-20
3,Andorra,"€1050.40 per month, €6.06 per hour.[16]",14397.0,11020.0,40,6.72,5.3,28%,1-Jan-19
4,Angola,"21,454 kwanza ($58) per month; paid thirteen times a year.[17][18]",764.0,2108.0,44,0.33,0.92,32.70%,1-Apr-19
5,Antigua and Barbuda,EC$8.20 per hour (US$3.03).[10][19][20],6317.0,7788.0,40,3.04,3.74,34.40%,1-Nov-14
6,Argentina,"32,000 Argentine pesos ($305) per month for up to 200 hours; paid thirteen times a year.[21][22]",8640.0,44645.0,48,3.46,17.89,223.90%,1-Nov-21
7,Armenia,"68,000 Armenian dram ($143) per month.[10][23]",1698.0,4140.0,40,0.82,1.99,46.90%,1-Jul-19
8,Australia,"Most workers are covered by an award, which may vary by employee age, geographical location and industry. Workers receive mandatory employer superannuation contributions of at least 10% (increasing to 12% by 2025) of wages, alongside loadings such as penalty rates or leave loading. Minimum wages are set federally by the Fair Work Commission. For those 21 and older, not covered by an award or other instrument, the minimum wages is A$772.60 ($568.34 USD) per week, or A$20.33 ($14.95 USD) per hour.[24] Casual workers are paid a loading of typically 25%, resulting in a minimum of A$24.80 per hour for those workers. Workers under 21, apprentices and trainees not covered by an award, have a minimum wages set at a percentage of the ordinary rate.[24] For those under 16, this is 36.8% or A$7.30 per hour; A$9.13 with the casual loading.[25]",28734.0,25110.0,38,14.54,12.71,54.60%,1-Jul-21
9,Austria,"None; National collective bargaining agreements set minimum wages by job classification for each industry and provide for a minimum wage of €1,200 ($1,289) per month[dubious – discuss]. Wages where no such collective agreements exist, such as for domestic workers, janitorial staff and au pairs, are regulated by relevant legislation and are generally lower than those covered by collective bargaining. The national minimum wage legislation has lapsed, although is still in force by convention.[26][10]",,,40,,,,2017
10,Azerbaijan,250 Azerbaijani manat (146$) per month.[27][28],1765.0,8571.0,40,0.85,4.12,49.70%,1-Mar-19
11,The Bahamas,"B$5.25 ($5.25) per hour, B$42 ($42) per day, and B$210 ($210) per week.[10][29][30]",10920.0,9579.0,40,5.25,4.61,42.50%,15-Aug-15
12,Bahrain,None; 300 BHD ($800) for the public sector workers (only applies to Bahraini nationals).[10],,,48,,,,2017
13,Bangladesh,"1,500 taka ($19) per month for all economic sectors not covered by industry-specific wages; in the garment industry the minimum wage raised to 8,000 taka ($95) per month since 1 December 2018.[31] The minimum wage is set nationally every five years by the National Minimum Wage Board in a tripartite forum industry by industry.[10][18][32][33][34]",214.0,564.0,48,0.09,0.23,15.80%,1-Dec-13
14,Barbados,BDS$6.25 ($3.13) per hour for household domestics and shop assistants; the Ministry of Labor recommends all other sectors use this as the de facto minimum wage.[10][35],6500.0,5285.0,40,3.13,2.54,29.30%,1-Mar-12
15,Belarus,400.00 BYNs per month.[36],0.0,1.0,40,0.0,0.0,0%,1-Jan-21
16,Belgium,"€1,593.81 per month.[37][18][38]",21845.0,21734.0,38,11.06,11.0,46.80%,1-Jan-19
17,Belize,BZ$3.30 ($1.65) per hour.[10][39][40],3861.0,6774.0,45,1.65,2.89,80.10%,26-May-12
18,Benin,"40,000 CFA francs ($70) per month; the government set minimum wage scales for a number of occupations.[18][41]",819.0,2149.0,40,0.39,1.03,99.10%,1-Apr-14
